last_edited_by,date_added,last_edited_date,raw_source,vessel_id,port,key,arr_date,port_master,aphorism,holiday_greeting,wisdom,saying,vessel_name,tonnage,length_overall,flag_country,vessel_company,vessel_type
Junior Shurdlu,2035-12-03T00:00:00Z,2035-12-11T00:00:00Z,Port Grove harbor reports,webigailba7,City of Port Grove,4,2035-11-30T00:00:00Z,Portmaster of Port Grove,Ships at a distance have every man's wish on board.,Its **Lunch of VonLipwig** again today,"The tans will fade, but the memories will last forever.","In every outthrust headland, in every curving beach, in every grain of sand there is the story of the earth.",Webigail,NA,50,Oceanus,Unknown,Other
Junior Shurdlu,2035-08-21T00:00:00Z,2035-08-25T00:00:00Z,Haacklee harbor reports,arcticgraylingangler094,City of Haacklee,0,2035-08-20T00:00:00Z,Portmaster of Haacklee,There is hope at the bottom of the biggest waterfall.,Enjoy First Transit today!,"Boats, like whiskey, are all good.",An island is a world apart.,Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Haenyeo Hyun-Ki,2035-08-01T00:00:00Z,2035-08-02T00:00:00Z,Haacklee harbor reports,arcticgraylingangler094,City of Haacklee,1,2035-07-23T00:00:00Z,Portmaster of Haacklee,There is hope at the bottom of the biggest waterfall.,Enjoy First Transit today!,"The island is not just a place, but an experience.",The secret ingredient is always saltwater.,Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Haenyeo Hyun-Ki,2035-08-09T00:00:00Z,2035-08-10T00:00:00Z,Haacklee harbor reports,arcticgraylingangler094,City of Haacklee,2,2035-07-30T00:00:00Z,Portmaster of Haacklee,"The cure for anything is salt water: sweat, tears, or the sea.",NA,We must free ourselves of the hope that the sea will ever rest. We must learn to sail in high winds.,The secret ingredient is always saltwater.,Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Junior Shurdlu,2035-03-27T00:00:00Z,2035-04-05T00:00:00Z,Himark harbor reports,arcticgraylingangler094,City of Himark,0,2035-03-22T00:00:00Z,Portmaster of Himark,Ships at a distance have every man's wish on board.,"Wow, its Memorialince of Labor's Past and Future again",Life's roughest storms prove the strength of our anchors.,"The heart of man is very much like the sea, it has its storms, it has its tides and in its depths it has its pearls too.",Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Haenyeo Hyun-Ki,2035-06-22T00:00:00Z,2035-06-24T00:00:00Z,Himark harbor reports,arcticgraylingangler094,City of Himark,1,2035-06-16T00:00:00Z,Portmaster of Himark,"If you want to build a ship, don’t drum up the men to gather wood, divide the work, and give orders. Instead, teach them to yearn for the vast and endless sea.",Wonderful Offler Snack to each of you!,"The beach is not a place to work; to read, write or to think.",The sea is the same as it has been since before men ever went on it in boats.,Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Clepper Jessen,2035-10-21T00:00:00Z,2035-10-31T00:00:00Z,Himark harbor reports,arcticgraylingangler094,City of Himark,2,2035-10-11T00:00:00Z,Portmaster of Himark,NA,NA,"A lot of people ask me if I were shipwrecked, and could only have one book, what would it be? I always say 'How to Build a Boat.'",NA,Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Junior Shurdlu,2035-11-11T00:00:00Z,2035-11-19T00:00:00Z,Lomark harbor reports,arcticgraylingangler094,City of Lomark,0,2035-11-07T00:00:00Z,Portmaster of Lomark,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,"Wow, its Memorialince of Labor's Past and Future again",Life on an island is life at its best.,"The cure for anything is salt water – sweat, tears, or the sea.",Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Junior Shurdlu,2035-11-09T00:00:00Z,2035-11-19T00:00:00Z,Lomark harbor reports,arcticgraylingangler094,City of Lomark,1,2035-11-07T00:00:00Z,Portmaster of Lomark,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,"Wow, its Memorialince of Labor's Past and Future again",Life on an island is life at its best.,"The cure for anything is salt water – sweat, tears, or the sea.",Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Junior Shurdlu,2035-11-12T00:00:00Z,2035-11-22T00:00:00Z,Lomark harbor reports,arcticgraylingangler094,City of Lomark,2,2035-11-07T00:00:00Z,Portmaster of Lomark,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,"Wow, its Memorialince of Labor's Past and Future again",Life on an island is life at its best.,"The cure for anything is salt water – sweat, tears, or the sea.",Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Clepper Jessen,2035-11-13T00:00:00Z,2035-11-23T00:00:00Z,Lomark harbor reports,arcticgraylingangler094,City of Lomark,3,2035-11-07T00:00:00Z,Portmaster of Lomark,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,"Wow, its Memorialince of Labor's Past and Future again",Life on an island is life at its best.,"The cure for anything is salt water – sweat, tears, or the sea.",Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Junior Shurdlu,2035-11-07T00:00:00Z,2035-11-16T00:00:00Z,Lomark harbor reports,arcticgraylingangler094,City of Lomark,4,2035-11-07T00:00:00Z,Portmaster of Lomark,"A lot of people ask me if I were shipwrecked, and could only have one book, what would it be? I always say 'How to Build a Boat.'",NA,Life on an island is life at its best.,"The cure for anything is salt water – sweat, tears, or the sea.",Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Junior Shurdlu,2035-11-09T00:00:00Z,2035-11-15T00:00:00Z,Lomark harbor reports,arcticgraylingangler094,City of Lomark,5,2035-10-30T00:00:00Z,Portmaster of Lomark,"A lot of people ask me if I were shipwrecked, and could only have one book, what would it be? I always say 'How to Build a Boat.'",NA,Life on an island is life at its best.,An island is more than just a geographical location; it's a state of mind.,Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Clepper Jessen,2035-11-09T00:00:00Z,2035-11-12T00:00:00Z,Lomark harbor reports,arcticgraylingangler094,City of Lomark,6,2035-10-30T00:00:00Z,Portmaster of Lomark,"I must go down to the sea again, to the lonely sea and the sky. And all I ask is a tall ship and a star to steer her by.",NA,Life on an island is life at its best.,An island is more than just a geographical location; it's a state of mind.,Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Junior Shurdlu,2035-09-27T00:00:00Z,2035-10-04T00:00:00Z,South Paackland harbor reports,arcticgraylingangler094,City of South Paackland,0,2035-09-17T00:00:00Z,Portmaster of South Paackland,NA,NA,NA,Island life is a canvas for the imagination.,Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Junior Shurdlu,2035-09-21T00:00:00Z,2035-09-26T00:00:00Z,South Paackland harbor reports,arcticgraylingangler094,City of South Paackland,1,2035-09-13T00:00:00Z,Portmaster of South Paackland,NA,NA,NA,"I could never stay long enough on the shore; the tang of the untainted, fresh, and free sea air was like a cool, quieting thought.",Arctic Grayling Angler,1500,80,Oceanus,"Smith, Davis and Acosta",Fishing
Clepper Jessen,2035-09-24T00:00:00Z,2035-09-25T00:00:00Z,Haacklee harbor reports,anchovyassaulterb1c,City of Haacklee,0,2035-09-14T00:00:00Z,Portmaster of Haacklee,"The sea-shore is a sort of neutral ground, a most advantageous point from which to contemplate the world.",Enjoy First Transit today!,Life is better in flip flops.,"Bare feet, salty hair.",Anchovy Assaulter,400,60,Oceanus,Cisneros-Meyer,Fishing
Clepper Jessen,2035-09-17T00:00:00Z,2035-09-21T00:00:00Z,Haacklee harbor reports,anchovyassaulterb1c,City of Haacklee,1,2035-09-14T00:00:00Z,Portmaster of Haacklee,"The sea-shore is a sort of neutral ground, a most advantageous point from which to contemplate the world.",What are you doing for Minister's Day this year?,Life is better in flip flops.,"The sailor is the sea's husband, and she will not be widowed.",Anchovy Assaulter,400,60,Oceanus,Cisneros-Meyer,Fishing
Clepper Jessen,2035-09-22T00:00:00Z,2035-09-28T00:00:00Z,Haacklee harbor reports,anchovyassaulterb1c,City of Haacklee,2,2035-09-14T00:00:00Z,Portmaster of Haacklee,"The sea-shore is a sort of neutral ground, a most advantageous point from which to contemplate the world.",Merry Minister's Day Observed to you all!,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,"The sailor is the sea's husband, and she will not be widowed.",Anchovy Assaulter,400,60,Oceanus,Cisneros-Meyer,Fishing
Clepper Jessen,2035-08-22T00:00:00Z,2035-09-01T00:00:00Z,Haacklee harbor reports,anchovyassaulterb1c,City of Haacklee,3,2035-08-19T00:00:00Z,Portmaster of Haacklee,"If the ocean can calm itself, so can you.",NA,"Life is like the ocean. It can be calm or still, and rough or rigid, but in the end, it is always beautiful.","When you're on an island, every sunrise is a gift.",Anchovy Assaulter,400,60,Oceanus,Cisneros-Meyer,Fishing
Clepper Jessen,2035-04-06T00:00:00Z,2035-04-09T00:00:00Z,Haacklee harbor reports,anchovyassaulterb1c,City of Haacklee,4,2035-04-02T00:00:00Z,Portmaster of Haacklee,NA,NA,NA,Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,Anchovy Assaulter,400,60,Oceanus,Cisneros-Meyer,Fishing
Junior Shurdlu,2035-03-12T00:00:00Z,2035-03-18T00:00:00Z,South Paackland harbor reports,anchovyassaulterb1c,City of South Paackland,0,2035-03-12T00:00:00Z,Portmaster of South Paackland,"There is one spectacle grander than the sea, that is the sky; there is one spectacle grander than the sky, that is the interior of the soul.",NA,The ocean is a central image. It is the symbolism of a great journey.,The best therapy is beach therapy.,Anchovy Assaulter,400,60,Oceanus,Cisneros-Meyer,Fishing
Junior Shurdlu,2035-03-16T00:00:00Z,2035-03-18T00:00:00Z,South Paackland harbor reports,anchovyassaulterb1c,City of South Paackland,1,2035-03-12T00:00:00Z,Portmaster of South Paackland,"There is one spectacle grander than the sea, that is the sky; there is one spectacle grander than the sky, that is the interior of the soul.",NA,The ocean is a central image. It is the symbolism of a great journey.,"A ship in the harbor is safe, but that's not what ships are built for.",Anchovy Assaulter,400,60,Oceanus,Cisneros-Meyer,Fishing
Haenyeo Hyun-Ki,2035-08-27T00:00:00Z,2035-09-06T00:00:00Z,Haacklee harbor reports,oceanreaper44a,City of Haacklee,0,2035-08-24T00:00:00Z,Portmaster of Haacklee,The sea is as near as we come to another world.,Enjoy First Transit today!,"Boats, like whiskey, are all good.","Bare feet, salty hair.",Ocean Reaper,300,50,Oceanus,FlounderLeska Marine BV,Fishing
Haenyeo Hyun-Ki,2035-08-25T00:00:00Z,2035-09-03T00:00:00Z,Haacklee harbor reports,oceanreaper44a,City of Haacklee,1,2035-08-20T00:00:00Z,Portmaster of Haacklee,There is hope at the bottom of the biggest waterfall.,Enjoy First Transit today!,"Boats, like whiskey, are all good.",A rising tide lifts all boats.,Ocean Reaper,300,50,Oceanus,FlounderLeska Marine BV,Fishing
Clepper Jessen,2035-11-08T00:00:00Z,2035-11-13T00:00:00Z,Haacklee harbor reports,oceanreaper44a,City of Haacklee,2,2035-11-02T00:00:00Z,Portmaster of Haacklee,"The heart of man is very much like the sea, it has its storms, it has its tides and in its depths it has its pearls too.",NA,"Island life is a treasure, don't rush to find it.",A rising tide lifts all boats.,Ocean Reaper,300,50,Oceanus,FlounderLeska Marine BV,Fishing
Junior Shurdlu,2035-11-04T00:00:00Z,2035-11-07T00:00:00Z,Haacklee harbor reports,oceanreaper44a,City of Haacklee,3,2035-11-02T00:00:00Z,Portmaster of Haacklee,NA,NA,NA,A rising tide lifts all boats.,Ocean Reaper,300,50,Oceanus,FlounderLeska Marine BV,Fishing
Junior Shurdlu,2035-04-16T00:00:00Z,2035-04-22T00:00:00Z,South Paackland harbor reports,oceanreaper44a,City of South Paackland,0,2035-04-16T00:00:00Z,Portmaster of South Paackland,A ship is always safe at the shore - but that is NOT what it is built for.,NA,One cannot collect all the beautiful shells on the beach.,"There is nothing more enticing, disenchanting, and enslaving than the life at sea.",Ocean Reaper,300,50,Oceanus,FlounderLeska Marine BV,Fishing
Haenyeo Hyun-Ki,2035-06-15T00:00:00Z,2035-06-22T00:00:00Z,South Paackland harbor reports,oceanreaper44a,City of South Paackland,1,2035-06-10T00:00:00Z,Portmaster of South Paackland,A ship is always safe at the shore - but that is NOT what it is built for.,NA,The sea complains upon a thousand shores.,NA,Ocean Reaper,300,50,Oceanus,FlounderLeska Marine BV,Fishing
Clepper Jessen,2035-04-18T00:00:00Z,2035-04-20T00:00:00Z,South Paackland harbor reports,oceanreaper44a,City of South Paackland,2,2035-04-17T00:00:00Z,Portmaster of South Paackland,NA,NA,"To myself I am only a child playing on the beach, while vast oceans of truth lie undiscovered before me.",NA,Ocean Reaper,300,50,Oceanus,FlounderLeska Marine BV,Fishing
Haenyeo Hyun-Ki,2035-12-08T00:00:00Z,2035-12-17T00:00:00Z,Haacklee harbor reports,herringharpooner843,City of Haacklee,0,2035-11-28T00:00:00Z,Portmaster of Haacklee,"The sea-shore is a sort of neutral ground, a most advantageous point from which to contemplate the world.",What are you doing for Minister's Day this year?,"The heart of man is very much like the sea, it has its storms, it has its tides and in its depths it has its pearls too.",You can't cross the sea merely by standing and staring at the water.,Herring Harpooner,7400,130,Oceanus,House Group,Fishing
Junior Shurdlu,2035-09-14T00:00:00Z,2035-09-24T00:00:00Z,Haacklee harbor reports,herringharpooner843,City of Haacklee,1,2035-09-14T00:00:00Z,Portmaster of Haacklee,"The sea-shore is a sort of neutral ground, a most advantageous point from which to contemplate the world.",Wonderful Memorialince of Labor's Past and Future to each of you!,Why do we love the sea? It is because it has some potent power to make us think things we like to think.,A rising tide lifts all boats.,Herring Harpooner,7400,130,Oceanus,House Group,Fishing
Haenyeo Hyun-Ki,2035-05-10T00:00:00Z,2035-05-12T00:00:00Z,Haacklee harbor reports,herringharpooner843,City of Haacklee,2,2035-05-02T00:00:00Z,Portmaster of Haacklee,"To reach a port, we must set sail.",What are you doing for Unification Day this year?,A ship on the beach is a lighthouse to the sea.,"On an island, you're always surrounded by friends – sometimes they just have fins or feathers.",Herring Harpooner,7400,130,Oceanus,House Group,Fishing
Junior Shurdlu,2035-06-16T00:00:00Z,2035-06-20T00:00:00Z,Haacklee harbor reports,herringharpooner843,City of Haacklee,3,2035-06-07T00:00:00Z,Portmaster of Haacklee,The sea finds out everything you did wrong.,Merry Lunch of VonLipwig to you all!,"The island is not just a place, but an experience.","The sea, once it casts its spell, holds one in its net of wonder forever.",Herring Harpooner,7400,130,Oceanus,House Group,Fishing
Clepper Jessen,2035-09-28T00:00:00Z,2035-10-01T00:00:00Z,South Paackland harbor reports,herringharpooner843,City of South Paackland,0,2035-09-22T00:00:00Z,Portmaster of South Paackland,He that will not sail till all dangers are over must never put to sea.,NA,"The island is not just a place, but an experience.",NA,Herring Harpooner,7400,130,Oceanus,House Group,Fishing
Clepper Jessen,2035-10-27T00:00:00Z,2035-10-30T00:00:00Z,South Paackland harbor reports,herringharpooner843,City of South Paackland,1,2035-10-24T00:00:00Z,Portmaster of South Paackland,NA,NA,The waves of the sea help me get back to me.,NA,Herring Harpooner,7400,130,Oceanus,House Group,Fishing
Junior Shurdlu,2035-12-03T00:00:00Z,2035-12-09T00:00:00Z,Haacklee harbor reports,halibuthunterd84,City of Haacklee,0,2035-11-28T00:00:00Z,Portmaster of Haacklee,"The sea-shore is a sort of neutral ground, a most advantageous point from which to contemplate the world.",What are you doing for Saw Appreciation Day this year?,"The heart of man is very much like the sea, it has its storms, it has its tides and in its depths it has its pearls too.",An island is a world apart.,Halibut Hunter,100,10,Oceanus,Weaver-Baker,Fishing
Clepper Jessen,2035-06-06T00:00:00Z,2035-06-07T00:00:00Z,Haacklee harbor reports,halibuthunterd84,City of Haacklee,1,2035-06-04T00:00:00Z,Portmaster of Haacklee,"To reach a port, we must set sail.",Merry Minister's Day Observed to you all!,The sea complains upon a thousand shores.,An island is a world apart.,Halibut Hunter,100,10,Oceanus,Weaver-Baker,Fishing
Clepper Jessen,2035-06-11T00:00:00Z,2035-06-13T00:00:00Z,Haacklee harbor reports,halibuthunterd84,City of Haacklee,2,2035-06-04T00:00:00Z,Portmaster of Haacklee,"To reach a port, we must set sail.",Merry Minister's Day Observed to you all!,The sea complains upon a thousand shores.,An island is a world apart.,Halibut Hunter,100,10,Oceanus,Weaver-Baker,Fishing
Clepper Jessen,2035-05-15T00:00:00Z,2035-05-24T00:00:00Z,Haacklee harbor reports,halibuthunterd84,City of Haacklee,3,2035-05-15T00:00:00Z,Portmaster of Haacklee,"I'm not afraid of storms, for I'm learning how to sail my ship.",NA,"The island is not just a place, but an experience.",Ocean: A body of water occupying two-thirds of a world made for man - who has no gills.,Halibut Hunter,100,10,Oceanus,Weaver-Baker,Fishing
